"","Plant","Type","Treatment","conc","uptake","weight","weightNumber"
"1","Qn1","Quebec","nonchilled",95,16,"26kg",26
"2","Qn1","Quebec","nonchilled",175,30.4,"20kg",20
"3","Qn1","Quebec","nonchilled",429.166666666667,20,"19kg",19
"4","Qn1","Quebec","nonchilled",350,37.2,"29kg",29
"5","Qn1","Quebec","nonchilled",500,35.3,"19kg",19
"6","Qn1","Quebec","nonchilled",675,39.2,"21kg",21
"7","Qn1","Quebec","nonchilled",1000,39.7,"16kg",16
"8","Qn2","Quebec","nonchilled",429.166666666667,13.6,"17kg",17
"9","Qn2","Quebec","nonchilled",175,27.3,"8kg",8
"10","Qn2","Quebec","nonchilled",250,37.1,"4kg",4
"11","Qn2","Quebec","nonchilled",350,41.8,"28kg",28
"12","Qn2","Quebec","nonchilled",500,40.6,"27kg",27
"13","Qn2","Quebec","nonchilled",675,41.4,"20kg",20
"14","Qn2","Quebec","nonchilled",429.166666666667,20,"23kg",23
"15","Qn3","Quebec","nonchilled",429.166666666667,20,"0kg",0
"16","Qn3","Quebec","nonchilled",429.166666666667,20,"14kg",14
"17","Qn3","Quebec","nonchilled",250,40.3,"22kg",22
"18","Qn3","Quebec","nonchilled",350,42.1,"6kg",6
"19","Qn3","Quebec","nonchilled",500,42.9,"9kg",9
"20","Qn3","Quebec","nonchilled",429.166666666667,43.9,"6kg",6
"21","Qn3","Quebec","nonchilled",1000,45.5,"4kg",4
"22","Qc1","Quebec","chilled",95,14.2,"12kg",12
"23","Qc1","Quebec","chilled",175,24.1,"12kg",12
"24","Qc1","Quebec","chilled",250,20,"11kg",11
"25","Qc1","Quebec","chilled",350,34.6,"4kg",4
"26","Qc1","Quebec","chilled",500,32.5,"4kg",4
"27","Qc1","Quebec","chilled",429.166666666667,35.4,"6kg",6
"28","Qc1","Quebec","chilled",1000,38.7,"13kg",13
"29","Qc2","Quebec","chilled",95,9.3,"7kg",7
"30","Qc2","Quebec","chilled",175,27.3,"25kg",25
"31","Qc2","Quebec","chilled",250,35,"1kg",1
"32","Qc2","Quebec","chilled",350,38.8,"13kg",13
"33","Qc2","Quebec","chilled",500,38.6,"23kg",23
"34","Qc2","Quebec","chilled",675,20,"3kg",3
"35","Qc2","Quebec","chilled",1000,42.4,"16kg",16
"36","Qc3","Quebec","chilled",95,15.1,"6kg",6
"37","Qc3","Quebec","chilled",175,21,"3kg",3
"38","Qc3","Quebec","chilled",429.166666666667,20,"22kg",22
"39","Qc3","Quebec","chilled",350,34,"26kg",26
"40","Qc3","Quebec","chilled",500,38.9,"11kg",11
"41","Qc3","Quebec","chilled",675,39.6,"19kg",19
"42","Qc3","Quebec","chilled",1000,41.4,"2kg",2
"43","Mn1","Mississippi","nonchilled",95,10.6,"11kg",11
"44","Mn1","Mississippi","nonchilled",175,20,"8kg",8
"45","Mn1","Mississippi","nonchilled",250,26.2,"24kg",24
"46","Mn1","Mississippi","nonchilled",350,20,"13kg",13
"47","Mn1","Mississippi","nonchilled",500,30.9,"24kg",24
"48","Mn1","Mississippi","nonchilled",429.166666666667,32.4,"24kg",24
"49","Mn1","Mississippi","nonchilled",1000,35.5,"23kg",23
"50","Mn2","Mississippi","nonchilled",95,12,"13kg",13
"51","Mn2","Mississippi","nonchilled",175,22,"22kg",22
"52","Mn2","Mississippi","nonchilled",250,30.6,"18kg",18
"53","Mn2","Mississippi","nonchilled",350,31.8,"21kg",21
"54","Mn2","Mississippi","nonchilled",500,32.4,"0kg",0
"55","Mn2","Mississippi","nonchilled",675,31.1,"14kg",14
"56","Mn2","Mississippi","nonchilled",429.166666666667,31.5,"6kg",6
"57","Mn3","Mississippi","nonchilled",95,11.3,"11kg",11
"58","Mn3","Mississippi","nonchilled",175,19.4,"18kg",18
"59","Mn3","Mississippi","nonchilled",250,25.8,"10kg",10
"60","Mn3","Mississippi","nonchilled",350,27.9,"3kg",3
"61","Mn3","Mississippi","nonchilled",500,28.5,"7kg",7
"62","Mn3","Mississippi","nonchilled",675,28.1,"20kg",20
"63","Mn3","Mississippi","nonchilled",1000,27.8,"12kg",12
"64","Mc1","Mississippi","chilled",95,10.5,"23kg",23
"65","Mc1","Mississippi","chilled",175,14.9,"3kg",3
"66","Mc1","Mississippi","chilled",250,20,"13kg",13
"67","Mc1","Mississippi","chilled",350,18.9,"29kg",29
"68","Mc1","Mississippi","chilled",500,19.5,"26kg",26
"69","Mc1","Mississippi","chilled",675,22.2,"26kg",26
"70","Mc1","Mississippi","chilled",1000,21.9,"5kg",5
"71","Mc2","Mississippi","chilled",95,7.7,"3kg",3
"72","Mc2","Mississippi","chilled",175,11.4,"19kg",19
"73","Mc2","Mississippi","chilled",250,12.3,"10kg",10
"74","Mc2","Mississippi","chilled",350,20,"19kg",19
"75","Mc2","Mississippi","chilled",429.166666666667,12.5,"9kg",9
"76","Mc2","Mississippi","chilled",675,13.7,"5kg",5
"77","Mc2","Mississippi","chilled",1000,14.4,"23kg",23
"78","Mc3","Mississippi","chilled",95,20,"2kg",2
"79","Mc3","Mississippi","chilled",175,18,"14kg",14
"80","Mc3","Mississippi","chilled",429.166666666667,17.9,"15kg",15
"81","Mc3","Mississippi","chilled",350,17.9,"17kg",17
"82","Mc3","Mississippi","chilled",500,17.9,"9kg",9
"83","Mc3","Mississippi","chilled",675,18.9,"14kg",14
"84","Mc3","Mississippi","chilled",1000,19.9,"28kg",28
